Classpath;Classname;Count
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.spi.CsvPrinter;0
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.GitCsvXPorter;1
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.GitCsvXPorterProvider;1
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.GitCsvXPorterTest;2
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.Repo;1
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.SshConfig;1
file:/Users/oboehm/work/github/en/ClazzFish/spi/git/target/classes/;clazzfish.spi.git.SshConfig$1;1
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BitCounter;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BitmapStorage;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.Buffer;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BufferedAndIterator;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BufferedIterator;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BufferedORIterator;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BufferedRunningLengthWord;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.BufferedXORIterator;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.ChunkIterator;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.ChunkIteratorImpl;0
file:/Users/oboehm/.m2/repository/com/googlecode/javaewah/JavaEWAH/1.2.3/JavaEWAH-1.2.3.jar;com.googlecode.javaewah.ClearIntIterator;0
